四川成都电信组播,#genre#
中国教育4 576,http://125.71.247.101:8889/udp/239.93.0.50:5140
东南卫视 576,http://125.71.247.101:8889/udp/239.93.0.81:5140
东方卫视 576,http://125.71.247.101:8889/udp/239.93.0.70:5140
云南卫视 576,http://125.71.247.101:8889/udp/239.93.0.174:5140
云南卫视 576,http://125.71.247.101:8889/udp/239.93.0.174:5140
内蒙古卫视 576,http://125.71.247.101:8889/udp/239.93.0.8:5140
内蒙古卫视 576,http://125.71.247.101:8889/udp/239.93.0.8:5140
北京卫视 576,http://125.71.247.101:8889/udp/239.93.0.71:5140
吉林卫视 576,http://125.71.247.101:8889/udp/239.93.0.86:5140
吉林卫视 576,http://125.71.247.101:8889/udp/239.93.0.86:5140
天津卫视 576,http://125.71.247.101:8889/udp/239.93.0.85:5140
宁夏卫视 576,http://125.71.247.101:8889/udp/239.93.0.247:5140
宁夏卫视 576,http://125.71.247.101:8889/udp/239.93.0.247:5140
安徽卫视 576,http://125.71.247.101:8889/udp/239.93.0.75:5140
山东卫视 576,http://125.71.247.101:8889/udp/239.93.0.76:5140
山西卫视 576,http://125.71.247.101:8889/udp/239.93.0.6:5140
山西卫视 576,http://125.71.247.101:8889/udp/239.93.0.6:5140
广东卫视 576,http://125.71.247.101:8889/udp/239.93.0.78:5140
广西卫视 576,http://125.71.247.101:8889/udp/239.93.0.24:5140
广西卫视 576,http://125.71.247.101:8889/udp/239.93.0.24:5140
新疆卫视 576,http://125.71.247.101:8889/udp/239.93.0.194:5140
新疆卫视 576,http://125.71.247.101:8889/udp/239.93.0.194:5140
星空卫视 576,http://125.71.247.101:8889/udp/239.93.0.156:2193
星空卫视 576,http://125.71.247.101:8889/udp/239.93.0.188:2201
星空卫视 576,http://125.71.247.101:8889/udp/239.93.1.10:2193
江苏卫视 576,http://125.71.247.101:8889/udp/239.93.0.72:5140
江西卫视 576,http://125.71.247.101:8889/udp/239.93.0.83:5140
河北卫视 576,http://125.71.247.101:8889/udp/239.93.0.5:5140
河南卫视 576,http://125.71.247.101:8889/udp/239.93.0.84:5140
河南卫视 576,http://125.71.247.101:8889/udp/239.93.0.84:5140
浙江卫视 576,http://125.71.247.101:8889/udp/239.93.0.73:5140
海南卫视 576,http://125.71.247.101:8889/udp/239.93.0.80:5140
深圳卫视 576,http://125.71.247.101:8889/udp/239.93.0.248:5140
湖北卫视 576,http://125.71.247.101:8889/udp/239.93.0.82:5140
湖南卫视 576,http://125.71.247.101:8889/udp/239.93.0.77:5140
甘肃卫视 576,http://125.71.247.101:8889/udp/239.93.0.191:5140
甘肃卫视 576,http://125.71.247.101:8889/udp/239.93.0.191:5140
西藏卫视 576,http://125.71.247.101:8889/udp/239.93.0.175:5140
西藏卫视 576,http://125.71.247.101:8889/udp/239.93.0.175:5140
贵州卫视 576,http://125.71.247.101:8889/udp/239.93.0.127:5140
辽宁卫视 576,http://125.71.247.101:8889/udp/239.93.0.74:5140
重庆卫视 576,http://125.71.247.101:8889/udp/239.93.0.90:5140
陕西卫视 576,http://125.71.247.101:8889/udp/239.93.0.176:5140
陕西卫视 576,http://125.71.247.101:8889/udp/239.93.0.176:5140
青海卫视 576,http://125.71.247.101:8889/udp/239.93.0.192:5140
青海卫视 576,http://125.71.247.101:8889/udp/239.93.0.192:5140
黑龙江卫视 576,http://125.71.247.101:8889/udp/239.93.0.87:5140
